"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Albums API Management","1","0","Get albums by userId","0"
"0","","0","Posts API Management","1","0","Delete a post","0"
"0","","0","Albums API Management","2","0","Verify album title","0"
"0","","0","Photos API Management","2","0","Data Integrity","0"
"0","","0","Posts API Management","3","0","Getting a specific post","0"
"0","","0","Posts API Management","1","0","Creating a post with invalid user ID","0"
"0","","0","","1","0","Create a comment","0"
"0","","0","Posts API Management","1","0","Creating a post","0"
"0","","0","Todos API Management","1","0","Get all comments","0"
"0","","0","Todos API Management","1","0","Create a todo","0"
"0","","0","User API Management","3","0","get all users","0"
"0","","0","","1","0","Delete a comment","0"
"0","","0","Photos API Management","1","0","Verify Photo Data and URL Format","0"
"0","","0","Posts API Management","1","0","Getting a post with invalid post ID","0"
"0","","0","","1","0","Update a comment partially","0"
"0","","0","User API Management","1","0","","0"
"0","","0","Posts API Management","1","0","Updating a post partially","0"
"0","","0","Todos API Management","1","0","Get completed todos","0"
"0","","0","Todos API Management","2","0","Get comments by status","0"
"0","","0","","1","0","Get a comment by post id","0"
"0","","0","","2","0","Get a comment by id","0"
"0","","0","","1","0","Get all comments","0"
"0","","0","Photos API Management","1","0","Create a new photo","0"
"0","","0","Posts API Management","1","0","Updating a post","0"
"0","","0","","1","0","Update a comment","0"
"0","","0","Albums API Management","1","0","Get all albums","0"
"0","","0","Photos API Management","1","0","Relational Integrity: Album and Photos","0"
"0","","0","User API Management","1","0","Create a new user","0"
"0","","0","Albums API Management","1","0","Create a new album","0"
