"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that filtering by userId=1 only returns albums of that user.","17","test_filter_albums_by_user","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestAlbums","test_albums","",""
"Verify that a post can be deleted using DELETE.","18","test_delete_post_successfully","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestPost","test_posts","",""
"Verify the title of specific albums (Data Driven).","18","test_album_titles[1-quidem molestiae enim]","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestAlbums","test_albums","",""
"Verify the title of specific albums (Data Driven).","18","test_album_titles[2-sunt qui excepturi placeat culpa]","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestAlbums","test_albums","",""
"Data-driven test for photo titles.","14","test_specific_photo_titles[2-reprehenderit est deserunt velit ipsam]","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestPhotos","test_photos","",""
"","50","test_single_post_content[1-sunt aut facere repellat provident occaecati excepturi optio reprehenderit]","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestPost","test_posts","",""
"
                Verify how the API handles invalid user IDs during post creation.
                Note: JSONPlaceholder is a mock API and might still return 201.
                ","100","test_create_post_with_invalid_userId","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestPost","test_posts","",""
"Verify creating a new comment for a post.","17","test_create_comment_flow","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestComments","test_comments","",""
"","19","test_create_post_flow","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestPost","test_posts","",""
"Verify that all todos are fetched successfully.","49","test_get_all_todos_count","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestTodos","test_todos","",""
"","13","test_single_post_content[2-qui est esse]","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestPost","test_posts","",""
"Verify that a new todo can be created with correct data types.","27","test_create_todo_check_types","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestTodos","test_todos","",""
"","17","test_user_names[3-Clementine Bauch]","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestUsers","test_users","",""
"Verify deleting a comment.","18","test_delete_comment_flow","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestComments","test_comments","",""
"Verify that the photo URLs start with the expected placeholder domain.","53","test_photo_url_structure","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestPhotos","test_photos","",""
"","21","test_get_non_existing_post","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestPost","test_posts","",""
"Verify partial update of a comment using PATCH.","16","test_update_comment_partial","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestComments","test_comments","",""
"","49","test_status_code_check","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestUsers","test_users","",""
"Verify that a post can be partially updated using PUT.","20","test_partially_update_post","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestPost","test_posts","",""
"Verify that filtering by completed=true only returns completed todos.","17","test_filter_completed_todos","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestTodos","test_todos","",""
"Verify the 'completed' field for specific todos.","12","test_todo_completion_status[1-False]","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestTodos","test_todos","",""
"Verify filtering comments by post_id (Query Param).","15","test_get_comments_by_post_filter","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestComments","test_comments","",""
"Verify comment data for specific IDs.","14","test_get_comment_by_id[1-Eliseo@gardner.biz]","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestComments","test_comments","",""
"Verify that fetching all comments returns 200.","50","test_get_all_comments","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestComments","test_comments","",""
"Data-driven test for photo titles.","13","test_specific_photo_titles[1-accusamus beatae ad facilis cum similique qui sunt]","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestPhotos","test_photos","",""
"Verify the 'completed' field for specific todos.","17","test_todo_completion_status[4-True]","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestTodos","test_todos","",""
"Create a new photo.","20","test_create_photo","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestPhotos","test_photos","",""
"Verify that a post can be fully updated using PUT.","20","test_update_post_fully","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestPost","test_posts","",""
"Verify full update of a comment using PUT.","29","test_update_comment_fully","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestComments","test_comments","",""
"Verify that fetching all albums returns 200.","90","test_get_all_albums_status","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestAlbums","test_albums","",""
"Verify that all photos returned for albumId=1 actually belong to that album.","17","test_photos_belong_to_correct_album","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestPhotos","test_photos","",""
"","13","test_user_names[2-Ervin Howell]","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestUsers","test_users","",""
"Verify comment data for specific IDs.","58","test_get_comment_by_id[5-Hayden@althea.biz]","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestComments","test_comments","",""
"","17","test_create_user_flow","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestUsers","test_users","",""
"","12","test_user_names[1-Leanne Graham]","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestUsers","test_users","",""
"Verify that a user can create a new album.","19","test_create_album_flow","tests","Sat Jan 10 14:47:24 UTC 2026","passed","Sat Jan 10 14:47:24 UTC 2026","TestAlbums","test_albums","",""
"","20","test_single_post_content[3-ea molestias quasi exercitationem repellat qui ipsa sit aut]","tests","Sat Jan 10 14:47:25 UTC 2026","passed","Sat Jan 10 14:47:25 UTC 2026","TestPost","test_posts","",""
