"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Albums API Management","Create a new album","0","0","1","0","0"
"","User API Management","get all users","0","0","3","0","0"
"","Photos API Management","Create a new photo","0","0","1","0","0"
"","User API Management","","0","0","1","0","0"
"","Albums API Management","Verify album title","0","0","2","0","0"
"","Posts API Management","Delete a post","0","0","1","0","0"
"","Posts API Management","Getting a specific post","0","0","3","0","0"
"","Todos API Management","Get all comments","0","0","1","0","0"
"","Albums API Management","Get all albums","0","0","1","0","0"
"","Photos API Management","Data Integrity","0","0","2","0","0"
"","","Get a comment by post id","0","0","1","0","0"
"","Posts API Management","Creating a post","0","0","1","0","0"
"","","Delete a comment","0","0","1","0","0"
"","","Get a comment by id","0","0","2","0","0"
"","Albums API Management","Get albums by userId","0","0","1","0","0"
"","Todos API Management","Get comments by status","0","0","2","0","0"
"","Photos API Management","Verify Photo Data and URL Format","0","0","1","0","0"
"","User API Management","Create a new user","0","0","1","0","0"
"","","Get all comments","0","0","1","0","0"
"","","Update a comment partially","0","0","1","0","0"
"","Todos API Management","Create a todo","0","0","1","0","0"
"","","Create a comment","0","0","1","0","0"
"","","Update a comment","0","0","1","0","0"
"","Posts API Management","Getting a post with invalid post ID","0","0","1","0","0"
"","Posts API Management","Creating a post with invalid user ID","0","0","1","0","0"
"","Posts API Management","Updating a post","0","0","1","0","0"
"","Todos API Management","Get completed todos","0","0","1","0","0"
"","Posts API Management","Updating a post partially","0","0","1","0","0"
"","Photos API Management","Relational Integrity: Album and Photos","0","0","1","0","0"
